# t	s_num	e_num	p_num
3.02 2.13618e-11 33.3389 33.3389
3.03 1.52727e-11 33.779 33.779
3.04 1.0871e-11 34.225 34.225
3.05 7.70332e-12 34.6768 34.6768
3.06 5.4339e-12 35.1345 35.1345
3.07 3.81546e-12 35.5982 35.5982
3.08 2.66659e-12 36.068 36.068
3.09 1.85488e-12 36.544 36.544
3.1 1.28409e-12 37.0263 37.0263
3.11 8.84643e-13 37.5148 37.5148
3.12 6.0647e-13 38.0098 38.0098
3.13 4.13703e-13 38.5113 38.5113
3.14 2.80788e-13 39.0194 39.0194
3.15 1.89606e-13 39.5341 39.5341
3.16 1.27373e-13 40.0556 40.0556
3.17 8.51192e-14 40.584 40.584
3.18 5.65811e-14 41.1193 41.1193
3.19 3.74093e-14 41.6616 41.6616
3.2 2.45993e-14 42.2111 42.2111
3.21 1.60867e-14 42.7677 42.7677
3.22 1.04613e-14 43.3317 43.3317
3.23 6.76458e-15 43.9031 43.9031
3.24 4.34916e-15 44.482 44.482
3.25 2.78001e-15 45.0686 45.0686
3.26 1.76657e-15 45.6628 45.6628
3.27 1.1159e-15 46.2648 46.2648
3.28 7.00639e-16 46.8747 46.8747
3.29 4.37226e-16 47.4927 47.4927
3.3 2.71161e-16 48.1188 48.1188
3.31 1.67117e-16 48.7531 48.7531
3.32 1.02341e-16 49.3958 49.3958
3.33 6.22706e-17 50.0469 50.0469
3.34 3.76428e-17 50.7065 50.7065
3.35 2.26053e-17 51.3748 51.3748
3.36 1.34844e-17 52.052 52.052
3.37 7.98929e-18 52.738 52.738
3.38 4.70113e-18 53.433 53.433
3.39 2.74711e-18 54.1372 54.1372
3.4 1.594e-18 54.8506 54.8506
3.41 9.18343e-19 55.5734 55.5734
3.42 5.2527e-19 56.3058 56.3058
3.43 2.98251e-19 57.0477 57.0477
3.44 1.68099e-19 57.7994 57.7994
3.45 9.40345e-20 58.561 58.561
3.46 5.22047e-20 59.3326 59.3326
3.47 2.87602e-20 60.1143 60.1143
3.48 1.57213e-20 60.9064 60.9064
