# t	TI	TM	I	u
4.27 -0.00913879 0.93219 27.5311 0.326232
4.28 -0.0116966 0.929934 27.652 0.325906
4.29 -0.0142417 0.927669 27.7728 0.32558
4.3 -0.0167739 0.925396 27.8933 0.325255
4.31 -0.0192933 0.923115 28.0137 0.324929
4.32 -0.0217996 0.920826 28.1338 0.324605
4.33 -0.024293 0.918529 28.2537 0.32428
4.34 -0.0267733 0.916225 28.3734 0.323956
4.35 -0.0292405 0.913913 28.4929 0.323632
4.36 -0.0316945 0.911594 28.6121 0.323309
4.37 -0.0341352 0.909268 28.7311 0.322986
4.38 -0.0365627 0.906935 28.8498 0.322663
4.39 -0.0389768 0.904595 28.9682 0.32234
4.4 -0.0413774 0.902249 29.0864 0.322018
4.41 -0.0437647 0.899897 29.2043 0.321696
4.42 -0.0461385 0.897538 29.3218 0.321375
4.43 -0.0484987 0.895173 29.4391 0.321054
4.44 -0.0508453 0.892803 29.556 0.320733
4.45 -0.0531783 0.890427 29.6726 0.320412
4.46 -0.0554977 0.888045 29.7889 0.320092
4.47 -0.0578033 0.885658 29.9048 0.319772
4.48 -0.0600953 0.883266 30.0204 0.319452
4.49 -0.0623734 0.88087 30.1356 0.319133
4.5 -0.0646378 0.878468 30.2504 0.318814
4.51 -0.0668883 0.876062 30.3649 0.318495
4.52 -0.0691249 0.873652 30.479 0.318177
4.53 -0.0713477 0.871237 30.5926 0.317859
4.54 -0.0735565 0.868819 30.7059 0.317541
4.55 -0.0757515 0.866397 30.8188 0.317224
4.56 -0.0779324 0.863971 30.9312 0.316907
4.57 -0.0800993 0.861542 31.0432 0.31659
4.58 -0.0822523 0.85911 31.1548 0.316274
4.59 -0.0843912 0.856674 31.2659 0.315958
4.6 -0.0865161 0.854236 31.3766 0.315642
4.61 -0.088627 0.851795 31.4868 0.315326
4.62 -0.0907238 0.849352 31.5965 0.315011
4.63 -0.0928065 0.846906 31.7057 0.314696
4.64 -0.0948751 0.844458 31.8145 0.314382
4.65 -0.0969296 0.842008 31.9228 0.314068
4.66 -0.0989701 0.839557 32.0306 0.313754
4.67 -0.100996 0.837104 32.1378 0.31344
4.68 -0.103009 0.83465 32.2446 0.313127
4.69 -0.105007 0.832194 32.3508 0.312814
4.7 -0.106991 0.829737 32.4565 0.312501
4.71 -0.108961 0.82728 32.5616 0.312189
